Walc,guardian,famsize,Pstatus,nursery,romantic,famrel,Dalc,age
5,father,GT3,T,no,yes,5,5,16
1,father,LE3,T,yes,no,4,1,16
4,mother,GT3,T,yes,no,3,2,16
4,father,LE3,T,yes,yes,4,2,15
2,mother,LE3,T,yes,no,5,1,16
5,mother,GT3,A,no,yes,1,5,15
2,mother,GT3,T,yes,no,4,1,16
3,mother,LE3,T,yes,no,4,1,15
3,father,LE3,T,no,no,4,2,15
1,father,GT3,T,yes,no,4,1,16
1,mother,GT3,T,yes,no,3,1,15
4,mother,GT3,T,no,yes,3,2,15
2,mother,GT3,T,yes,no,5,2,16
4,mother,GT3,T,yes,no,4,2,16
3,mother,GT3,T,yes,no,4,2,15
1,mother,GT3,T,yes,no,3,1,15
3,mother,GT3,T,yes,yes,5,1,16
1,mother,GT3,T,yes,no,4,1,17
2,mother,GT3,T,yes,no,2,1,16
3,father,GT3,T,no,yes,3,1,15
2,mother,GT3,T,no,no,5,1,15
1,mother,LE3,T,yes,no,4,1,15
3,mother,LE3,T,yes,no,5,1,15
3,father,GT3,T,no,no,4,2,15
3,father,GT3,T,yes,yes,4,2,15
2,mother,LE3,T,yes,no,4,1,16
3,mother,GT3,T,yes,no,5,1,15
1,father,GT3,T,no,no,4,1,16
5,mother,LE3,A,yes,no,4,3,16
3,mother,GT3,T,yes,yes,4,1,16
3,mother,GT3,T,yes,no,4,1,15
3,father,LE3,T,yes,no,3,2,16
1,mother,GT3,T,yes,no,5,1,16
1,mother,LE3,T,yes,no,4,1,15
1,mother,GT3,T,yes,no,3,1,15
1,mother,GT3,T,no,no,3,1,16
1,mother,GT3,T,yes,yes,4,1,16
2,mother,GT3,T,no,no,5,1,16
1,mother,GT3,T,yes,no,5,1,16
5,mother,GT3,T,yes,no,4,5,16
1,father,GT3,T,yes,yes,4,1,16
1,mother,GT3,T,no,no,5,1,15
1,mother,GT3,T,yes,no,4,1,15
1,mother,GT3,A,yes,no,5,1,15
1,father,GT3,A,yes,no,4,1,15
1,mother,GT3,T,yes,no,5,1,15
1,father,GT3,T,yes,no,5,1,16
5,father,GT3,T,yes,yes,1,3,15
1,mother,LE3,T,yes,yes,5,1,16
1,mother,LE3,A,yes,no,5,1,15
1,father,GT3,T,yes,no,4,1,16
1,mother,GT3,T,yes,no,3,1,16
1,mother,LE3,T,yes,no,3,1,15
1,mother,GT3,T,yes,yes,5,1,15
2,father,GT3,T,yes,no,5,1,16
1,father,GT3,T,yes,no,4,1,15
1,father,GT3,T,yes,no,5,1,16
4,father,GT3,T,yes,no,5,1,17
2,father,GT3,T,yes,no,3,1,15
2,mother,GT3,T,no,no,3,1,15
2,father,GT3,T,yes,no,5,1,15
2,father,LE3,T,yes,yes,4,1,16
4,mother,GT3,T,yes,no,3,1,16
1,mother,GT3,T,yes,yes,5,1,16
2,father,GT3,T,yes,no,5,3,15
1,mother,LE3,A,yes,yes,5,1,15
1,other,GT3,T,no,no,3,1,19
2,mother,GT3,T,yes,no,3,1,18
5,mother,GT3,T,yes,no,3,2,16
2,father,GT3,T,yes,yes,4,2,15
2,mother,GT3,T,no,yes,4,1,15
3,father,LE3,T,yes,yes,3,1,17
4,father,GT3,A,yes,no,3,1,16
1,mother,GT3,T,yes,yes,5,1,15
1,mother,GT3,T,yes,yes,4,1,15
4,mother,GT3,T,yes,no,5,2,17
1,other,GT3,A,no,yes,4,1,16
3,mother,LE3,T,yes,yes,4,1,16
1,mother,GT3,T,yes,no,4,1,15
1,father,GT3,T,yes,no,2,1,15
2,father,LE3,T,yes,no,2,2,16
1,mother,GT3,T,yes,no,4,1,15
3,mother,LE3,T,yes,no,3,3,16
2,mother,GT3,T,yes,no,5,1,17
2,father,GT3,T,yes,no,4,1,15
1,father,GT3,T,yes,no,3,1,15
1,mother,GT3,T,no,no,4,1,15
1,mother,GT3,T,yes,yes,3,2,16
5,mother,LE3,A,yes,no,4,2,15
5,mother,LE3,T,yes,yes,2,2,18
5,mother,LE3,T,yes,yes,4,3,16
3,other,GT3,T,yes,yes,4,2,15
1,mother,GT3,T,yes,yes,4,1,19
1,mother,GT3,T,yes,yes,4,1,17
1,mother,GT3,T,yes,no,4,1,15
3,mother,LE3,T,yes,no,2,3,17
5,mother,GT3,T,no,no,5,1,18
2,mother,GT3,T,no,no,4,1,16
4,father,GT3,T,yes,yes,4,4,16
2,mother,LE3,T,yes,yes,3,2,17
4,mother,GT3,T,yes,yes,4,1,15
4,mother,LE3,T,yes,no,4,2,16
4,father,GT3,T,yes,no,5,1,17
5,mother,LE3,T,yes,yes,5,1,17
1,mother,GT3,T,no,no,4,1,16
4,father,GT3,T,yes,no,4,2,16
1,father,GT3,T,yes,yes,4,1,16
1,mother,GT3,T,no,no,5,1,16
1,mother,GT3,T,yes,yes,4,1,16
4,father,GT3,T,no,no,3,2,16
1,mother,GT3,T,yes,yes,4,1,16
3,mother,LE3,T,yes,no,4,1,17
1,mother,GT3,T,no,yes,4,1,16
1,mother,LE3,T,yes,no,4,1,16
4,mother,LE3,T,yes,no,4,4,17
4,mother,GT3,T,no,no,3,1,16
4,father,GT3,T,no,no,4,1,17
4,mother,GT3,T,yes,yes,4,3,16
1,mother,GT3,T,yes,yes,5,1,17
3,mother,GT3,T,yes,no,3,2,16
2,mother,GT3,T,yes,yes,4,1,16
3,father,GT3,T,yes,no,5,2,17
3,mother,LE3,T,yes,yes,5,2,17
2,mother,GT3,T,yes,no,1,1,16
3,mother,GT3,T,yes,yes,4,2,17
2,mother,GT3,T,yes,yes,3,1,16
2,mother,LE3,T,yes,yes,4,1,16
3,mother,GT3,A,no,yes,3,1,17
5,mother,GT3,T,yes,no,3,1,17
1,mother,GT3,T,yes,no,4,1,16
1,mother,GT3,T,yes,no,5,1,17
5,other,GT3,T,no,no,4,4,17
4,mother,GT3,T,yes,no,4,3,16
1,father,GT3,T,yes,no,5,1,16
1,father,LE3,T,yes,yes,4,1,17
2,mother,GT3,T,yes,no,5,1,17
5,father,LE3,T,yes,no,3,3,16
3,mother,GT3,T,yes,no,4,2,17
2,mother,LE3,T,yes,no,4,1,16
5,mother,GT3,T,yes,no,4,1,16
3,mother,GT3,T,yes,no,4,1,16
3,mother,GT3,T,no,no,4,1,17
2,mother,GT3,T,yes,no,5,1,17
1,mother,GT3,T,no,no,5,1,16
4,mother,GT3,T,yes,yes,4,3,17
2,mother,GT3,A,yes,no,2,2,16
1,mother,GT3,T,yes,yes,1,1,16
4,mother,GT3,T,yes,no,4,1,16
1,mother,GT3,T,yes,yes,4,1,17
2,other,GT3,T,yes,no,4,1,19
5,mother,LE3,T,yes,yes,5,4,17
1,mother,GT3,A,yes,no,3,1,16
4,mother,GT3,T,yes,no,4,2,18
2,mother,LE3,T,yes,no,5,1,17
3,mother,LE3,T,yes,no,4,1,17
4,mother,GT3,T,yes,yes,3,2,17
4,father,LE3,T,yes,no,3,2,18
4,father,GT3,T,yes,no,3,1,17
1,mother,GT3,T,yes,no,4,1,17
2,mother,GT3,T,yes,no,4,1,17
1,mother,GT3,T,yes,yes,4,1,17
1,mother,GT3,T,yes,no,2,1,16
5,mother,GT3,T,yes,no,3,5,18
1,mother,GT3,T,no,no,5,1,16
1,mother,GT3,T,yes,yes,5,1,18
3,mother,GT3,T,no,no,5,1,17
3,father,LE3,T,no,no,5,1,17
5,mother,LE3,T,yes,yes,4,4,18
2,mother,GT3,A,yes,yes,3,1,17
2,father,LE3,T,yes,yes,3,1,17
1,father,GT3,T,yes,no,4,1,17
3,mother,GT3,T,yes,yes,4,1,17
4,father,GT3,T,yes,no,4,2,16
1,mother,LE3,T,yes,no,3,1,16
3,mother,GT3,T,yes,yes,5,1,16
5,father,LE3,T,no,yes,4,5,17
1,mother,GT3,T,yes,yes,4,1,16
1,mother,GT3,T,yes,no,2,1,17
5,father,GT3,T,yes,no,5,3,18
4,mother,LE3,T,yes,yes,2,1,17
3,mother,LE3,A,yes,no,3,2,17
1,mother,LE3,T,no,no,5,1,16
2,mother,GT3,T,yes,no,5,1,16
1,other,GT3,T,no,yes,4,1,18
1,mother,GT3,T,yes,no,4,1,16
1,father,GT3,T,yes,no,5,1,17
5,mother,GT3,T,no,yes,5,5,22
3,mother,LE3,T,yes,yes,4,1,18
4,mother,GT3,T,no,no,4,2,16
4,mother,GT3,T,yes,no,4,2,18
3,other,GT3,T,no,no,5,1,16
5,mother,GT3,T,no,no,3,2,18
3,mother,GT3,T,no,no,3,1,16
4,mother,GT3,T,no,no,4,2,17
2,mother,LE3,T,yes,no,4,1,17
1,mother,LE3,T,yes,no,4,1,17
1,mother,LE3,A,yes,no,4,1,19
2,mother,GT3,T,yes,no,5,1,18
1,father,LE3,T,yes,yes,3,1,17
3,father,GT3,T,yes,yes,3,1,18
1,mother,GT3,T,no,no,4,1,18
1,mother,GT3,T,no,no,5,1,18
1,mother,GT3,T,no,no,3,1,17
1,mother,GT3,T,yes,yes,4,1,18
4,mother,LE3,A,yes,no,4,3,18
4,mother,GT3,T,yes,yes,5,3,17
2,mother,GT3,T,yes,no,4,2,18
3,father,GT3,T,yes,yes,5,1,18
2,mother,GT3,T,yes,yes,4,1,18
3,other,GT3,T,yes,no,4,3,19
3,father,GT3,T,yes,yes,4,1,18
1,mother,LE3,T,no,no,4,1,18
2,mother,GT3,T,no,yes,3,2,17
1,mother,GT3,T,yes,yes,4,1,17
3,mother,LE3,T,yes,yes,4,2,17
1,mother,GT3,A,no,yes,4,1,18
4,mother,GT3,T,yes,no,3,1,18
1,father,GT3,T,yes,yes,2,1,18
2,mother,LE3,T,yes,no,4,1,18
4,mother,LE3,A,yes,yes,4,2,17
4,mother,LE3,A,yes,no,4,3,17
1,mother,LE3,T,yes,no,5,1,18
1,mother,GT3,T,yes,no,5,1,18
2,mother,GT3,T,no,no,5,1,17
2,father,GT3,T,no,no,4,1,17
2,mother,GT3,T,yes,no,4,1,18
1,mother,GT3,T,yes,no,4,1,17
3,mother,GT3,T,yes,no,4,1,18
1,mother,LE3,A,yes,no,5,1,18
4,mother,GT3,T,yes,yes,4,1,18
2,mother,GT3,T,yes,no,4,1,17
1,mother,LE3,T,yes,yes,5,1,18
1,mother,LE3,T,yes,no,3,1,17
1,mother,LE3,T,yes,no,5,1,18
3,mother,GT3,T,yes,no,4,1,17
3,other,GT3,T,yes,no,2,2,19
2,other,LE3,T,yes,yes,4,1,18
1,father,GT3,T,yes,no,4,1,18
2,mother,LE3,T,yes,yes,1,2,18
1,mother,LE3,A,yes,yes,4,1,18
2,father,LE3,T,yes,no,4,2,17
1,mother,GT3,T,yes,no,4,1,17
2,father,GT3,T,no,no,5,1,17
1,other,GT3,T,yes,yes,4,1,19
1,other,GT3,T,yes,no,4,1,18
1,other,GT3,A,yes,no,5,1,20
1,other,GT3,T,yes,yes,4,1,19
2,father,GT3,T,yes,yes,4,1,19
3,other,LE3,T,no,no,4,1,19
2,other,LE3,T,no,yes,4,2,19
1,other,GT3,T,yes,yes,3,1,19
2,other,GT3,T,no,no,4,2,19
2,other,LE3,T,no,yes,4,1,19
1,other,GT3,T,no,yes,4,1,19
1,other,GT3,T,yes,yes,4,1,19
2,mother,GT3,T,yes,no,5,1,18
1,mother,GT3,T,yes,yes,4,1,18
5,father,GT3,T,no,no,4,2,17
3,mother,GT3,T,yes,no,4,3,18
2,mother,GT3,A,yes,yes,5,1,17
1,mother,GT3,T,yes,yes,4,1,17
2,mother,LE3,T,yes,no,3,2,17
3,father,GT3,T,no,no,3,2,17
3,father,LE3,T,yes,no,3,2,17
2,mother,GT3,T,yes,no,4,2,18
5,mother,GT3,T,no,no,4,3,17
5,mother,GT3,T,yes,no,4,5,17
3,mother,GT3,T,yes,no,5,1,17
2,mother,GT3,T,no,yes,4,1,17
4,mother,LE3,T,yes,no,4,2,18
1,father,GT3,T,yes,yes,4,1,17
1,mother,GT3,T,yes,no,5,1,18
1,other,LE3,T,no,yes,4,1,18
1,mother,GT3,T,yes,no,4,1,18
3,mother,GT3,T,yes,no,4,1,17
2,other,GT3,A,yes,no,5,1,19
3,mother,GT3,T,yes,yes,4,2,17
1,mother,LE3,T,yes,no,5,1,18
3,mother,GT3,A,yes,no,4,2,17
3,other,GT3,T,yes,yes,4,1,19
2,father,GT3,T,yes,no,4,2,18
3,mother,LE3,T,yes,yes,4,1,18
2,father,GT3,A,yes,yes,3,1,17
2,mother,GT3,T,yes,no,4,1,18
3,mother,GT3,T,yes,yes,5,2,18
2,mother,GT3,T,yes,yes,5,1,18
3,mother,GT3,T,yes,yes,5,2,18
3,mother,GT3,T,yes,yes,4,1,17
5,mother,GT3,T,no,no,2,5,18
3,other,GT3,T,yes,no,5,3,19
3,mother,GT3,T,yes,no,4,2,17
3,mother,LE3,T,yes,yes,4,2,18
3,other,GT3,T,yes,no,4,3,19
3,mother,GT3,T,no,yes,4,1,17
1,father,GT3,T,yes,yes,5,1,18
2,father,GT3,T,yes,no,4,1,17
2,mother,LE3,A,yes,yes,1,1,17
2,father,LE3,T,no,yes,3,1,18
1,father,LE3,T,yes,no,5,1,18
4,mother,LE3,A,yes,yes,4,1,18
3,mother,LE3,T,no,no,4,2,18
3,mother,GT3,T,yes,yes,4,1,18
1,mother,LE3,T,yes,yes,2,1,17
2,father,GT3,T,no,no,3,1,17
4,mother,GT3,T,yes,no,3,2,18
2,mother,LE3,T,yes,yes,4,2,18
2,mother,GT3,T,yes,yes,5,1,17
2,father,GT3,T,yes,yes,5,1,18
2,father,GT3,T,no,yes,3,4,18
1,other,LE3,T,yes,yes,3,1,19
3,father,LE3,T,yes,yes,4,2,18
1,mother,GT3,T,yes,yes,3,1,17
3,mother,GT3,T,yes,no,3,1,17
1,mother,LE3,T,yes,no,5,1,18
2,mother,GT3,T,yes,no,4,1,18
1,other,GT3,T,no,yes,5,1,20
4,mother,LE3,T,yes,no,5,3,18
2,mother,GT3,T,yes,yes,4,1,18
3,mother,GT3,T,no,no,4,2,17
4,father,GT3,T,no,no,3,1,18
3,mother,GT3,T,no,yes,4,1,18
1,father,GT3,T,yes,no,4,1,17
3,mother,GT3,T,yes,no,4,1,19
3,father,GT3,T,yes,no,5,4,18
3,mother,GT3,T,yes,no,5,1,18
2,mother,GT3,T,yes,yes,4,2,18
2,mother,GT3,T,no,no,5,1,19
1,mother,LE3,T,yes,no,4,1,18
1,mother,GT3,T,yes,no,1,1,18
5,other,LE3,A,yes,no,5,4,20
4,mother,LE3,T,no,no,2,3,17
3,other,GT3,T,no,no,5,3,21
4,mother,LE3,T,no,no,4,3,18
3,father,LE3,T,yes,no,3,3,19
