school,sex,age,address,famsize,Pstatus,guardian,nursery,higher,internet,romantic,famrel,Dalc,Walc,health
GP,F,16,U,GT3,A,mother,yes,yes,yes,yes,5,1,1,2
GP,F,15,U,GT3,A,mother,yes,yes,yes,no,4,1,1,1
GP,M,15,U,GT3,T,mother,yes,yes,no,no,3,1,1,5
GP,M,15,U,LE3,T,father,yes,yes,yes,no,4,1,1,5
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,4,1,1,5
GP,F,16,R,GT3,T,mother,yes,yes,no,no,2,2,3,4
GP,F,16,U,GT3,T,father,no,yes,yes,yes,5,5,5,5
GP,F,16,U,LE3,T,father,yes,yes,yes,no,4,1,1,1
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,3,2,4,4
GP,F,15,U,LE3,T,father,yes,yes,yes,yes,4,2,4,2
GP,F,16,U,LE3,T,mother,yes,yes,yes,no,5,1,2,1
GP,M,15,U,GT3,A,mother,no,yes,yes,yes,1,5,5,3
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,4,1,2,5
GP,F,15,R,LE3,T,mother,yes,yes,yes,no,4,1,3,4
GP,F,15,R,LE3,T,father,no,yes,yes,no,4,2,3,3
GP,M,16,U,GT3,T,father,yes,yes,yes,no,4,1,1,5
GP,M,15,U,GT3,T,mother,yes,yes,yes,no,3,1,1,3
GP,F,15,R,GT3,T,mother,no,yes,yes,yes,3,2,4,5
GP,M,16,U,GT3,T,mother,yes,yes,no,no,5,2,2,5
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,4,2,4,5
GP,M,15,U,GT3,T,mother,yes,yes,yes,no,4,2,3,5
GP,M,15,U,GT3,T,mother,yes,yes,yes,no,3,1,1,1
GP,F,16,U,GT3,T,mother,yes,yes,yes,yes,5,1,3,3
GP,M,17,U,GT3,T,mother,yes,no,yes,no,4,1,1,3
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,2,1,2,3
GP,M,15,U,GT3,T,father,no,yes,yes,yes,3,1,3,3
GP,M,15,U,GT3,T,mother,no,yes,yes,no,5,1,2,5
GP,F,15,U,LE3,T,mother,yes,yes,yes,no,4,1,1,5
GP,M,15,U,LE3,T,mother,yes,yes,yes,no,5,1,3,4
GP,F,15,U,GT3,T,father,no,yes,yes,no,4,2,3,4
GP,F,15,U,GT3,T,father,yes,yes,yes,yes,4,2,3,5
GP,F,16,U,LE3,T,mother,yes,yes,no,no,4,1,2,2
GP,F,15,U,GT3,T,mother,yes,yes,yes,no,5,1,3,1
GP,M,16,U,GT3,T,father,no,yes,yes,no,4,1,1,3
GP,M,16,U,LE3,A,mother,yes,yes,no,no,4,3,5,5
GP,F,16,U,GT3,T,mother,yes,yes,yes,yes,4,1,3,4
GP,F,15,U,GT3,T,mother,yes,yes,yes,no,4,1,3,1
GP,F,16,U,LE3,T,father,yes,yes,no,no,3,2,3,2
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,5,1,1,1
GP,M,15,U,LE3,T,mother,yes,yes,yes,no,4,1,1,4
GP,F,15,R,GT3,T,mother,yes,yes,yes,no,3,1,1,1
GP,M,16,R,GT3,T,mother,no,yes,yes,no,3,1,1,4
GP,F,16,U,GT3,T,mother,yes,yes,no,yes,4,1,1,5
GP,F,16,U,GT3,T,mother,no,yes,yes,no,5,1,2,1
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,5,1,1,3
GP,M,16,U,GT3,T,mother,yes,yes,yes,no,4,5,5,4
GP,M,16,U,GT3,T,father,yes,yes,yes,yes,4,1,1,4
GP,M,15,U,GT3,T,mother,no,yes,yes,no,5,1,1,5
GP,F,15,U,GT3,T,mother,yes,yes,yes,no,4,1,1,2
GP,M,15,U,GT3,A,mother,yes,yes,yes,no,5,1,1,1
GP,F,15,U,GT3,A,father,yes,yes,no,no,4,1,1,4
GP,F,15,U,GT3,T,mother,yes,yes,yes,no,5,1,1,3
GP,M,16,U,GT3,T,father,yes,yes,yes,no,5,1,1,5
GP,M,15,R,GT3,T,father,yes,yes,yes,yes,1,3,5,1
GP,F,16,U,LE3,T,mother,yes,yes,yes,yes,5,1,1,4
GP,M,15,U,LE3,A,mother,yes,yes,yes,no,5,1,1,4
GP,F,16,R,GT3,T,father,yes,yes,yes,no,4,1,1,2
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,3,1,1,5
GP,M,15,U,LE3,T,mother,yes,yes,yes,no,3,1,1,3
GP,M,15,R,GT3,T,mother,yes,yes,yes,yes,5,1,1,5
GP,M,16,U,GT3,T,father,yes,yes,yes,no,5,1,2,5
GP,M,15,U,GT3,T,father,yes,yes,no,no,4,1,1,2
GP,M,16,U,GT3,T,father,yes,yes,yes,no,5,1,1,5
GP,M,17,R,GT3,T,father,yes,yes,yes,no,5,1,4,5
GP,M,15,U,GT3,T,father,yes,yes,yes,no,3,1,2,4
GP,F,15,U,GT3,T,mother,no,yes,yes,no,3,1,2,1
GP,M,15,U,GT3,T,father,yes,yes,yes,no,5,1,2,5
GP,F,16,U,LE3,T,father,yes,yes,yes,yes,4,1,2,5
GP,M,16,U,GT3,T,mother,yes,yes,yes,no,3,1,4,5
GP,F,16,U,GT3,T,mother,yes,yes,yes,yes,5,1,1,5
GP,M,15,U,GT3,T,father,yes,yes,yes,no,5,3,2,5
GP,F,15,U,LE3,A,mother,yes,yes,yes,yes,5,1,1,1
GP,F,19,U,GT3,T,other,no,no,no,no,3,1,1,5
GP,M,18,R,GT3,T,mother,yes,yes,yes,no,3,1,2,4
GP,M,16,R,GT3,T,mother,yes,yes,yes,no,3,2,5,4
GP,F,15,R,GT3,T,father,yes,yes,yes,yes,4,2,2,5
GP,F,15,U,GT3,T,mother,no,yes,yes,yes,4,1,2,4
GP,F,17,U,LE3,T,father,yes,yes,yes,yes,3,1,3,5
GP,F,16,U,GT3,A,father,yes,yes,yes,no,3,1,4,5
GP,M,15,R,GT3,T,mother,yes,yes,no,yes,5,1,1,5
GP,F,15,U,GT3,T,mother,yes,yes,yes,yes,4,1,1,5
GP,M,17,R,GT3,T,mother,yes,yes,no,no,5,2,4,5
GP,F,16,U,GT3,A,other,no,yes,yes,yes,4,1,1,5
GP,M,16,U,LE3,T,mother,yes,yes,no,yes,4,1,3,5
GP,F,15,U,GT3,T,mother,yes,yes,yes,no,4,1,1,5
GP,M,15,U,GT3,T,father,yes,yes,yes,no,2,1,1,3
GP,M,16,U,LE3,T,father,yes,yes,yes,no,2,2,2,2
GP,F,15,U,GT3,T,mother,yes,yes,yes,no,4,1,1,5
GP,F,16,U,LE3,T,mother,yes,yes,yes,no,3,3,3,1
GP,M,17,U,GT3,T,mother,yes,yes,yes,no,5,1,2,5
GP,F,15,U,GT3,T,father,yes,yes,yes,no,4,1,2,5
GP,F,15,U,GT3,T,father,yes,yes,yes,no,3,1,1,3
GP,F,15,U,GT3,T,mother,no,yes,yes,no,4,1,1,5
GP,M,16,U,GT3,T,mother,yes,no,yes,yes,3,2,1,5
GP,M,15,U,LE3,A,mother,yes,yes,yes,no,4,2,5,5
GP,M,18,U,LE3,T,mother,yes,no,yes,yes,2,2,5,4
GP,M,16,U,LE3,T,mother,yes,yes,no,yes,4,3,5,5
GP,F,15,R,GT3,T,other,yes,yes,yes,yes,4,2,3,3
GP,M,19,U,GT3,T,mother,yes,no,yes,yes,4,1,1,4
GP,F,17,U,GT3,T,mother,yes,yes,no,yes,4,1,1,4
GP,M,15,R,GT3,T,mother,yes,yes,no,no,4,1,1,1
GP,M,17,R,LE3,T,mother,yes,yes,no,no,2,3,3,5
GP,F,18,R,GT3,T,mother,no,yes,no,no,5,1,5,4
GP,M,16,R,GT3,T,mother,no,yes,no,no,4,1,2,3
GP,M,16,U,GT3,T,father,yes,yes,yes,yes,4,4,4,5
GP,M,17,R,LE3,T,mother,yes,no,yes,yes,3,2,2,5
GP,M,15,R,GT3,T,mother,yes,yes,yes,yes,4,1,4,3
GP,M,16,U,LE3,T,mother,yes,yes,no,no,4,2,4,5
GP,M,17,U,GT3,T,father,yes,no,yes,no,5,1,4,2
GP,M,17,R,LE3,T,mother,yes,no,no,yes,5,1,5,5
GP,M,16,U,GT3,T,mother,no,no,no,no,4,1,1,2
GP,M,16,U,GT3,T,father,yes,no,yes,no,4,2,4,4
GP,F,16,U,GT3,T,father,yes,yes,yes,yes,4,1,1,3
GP,F,16,U,GT3,T,mother,no,yes,yes,no,5,1,1,4
GP,F,16,U,GT3,T,mother,yes,yes,yes,yes,4,1,1,3
GP,M,16,U,GT3,T,father,no,yes,yes,no,3,2,4,2
GP,M,16,U,GT3,T,mother,yes,yes,yes,yes,4,1,1,3
GP,M,17,U,LE3,T,mother,yes,yes,yes,no,4,1,3,5
GP,F,16,U,GT3,T,mother,no,yes,yes,yes,4,1,1,3
GP,F,16,U,LE3,T,mother,yes,yes,yes,no,4,1,1,4
GP,M,17,U,LE3,T,mother,yes,yes,yes,no,4,4,4,4
GP,F,16,U,GT3,T,mother,no,yes,yes,no,3,1,4,5
GP,M,17,U,GT3,T,father,no,yes,yes,no,4,1,4,4
GP,M,16,R,GT3,T,mother,yes,yes,yes,yes,4,3,4,3
GP,M,17,U,GT3,T,mother,yes,yes,yes,yes,5,1,1,2
GP,M,16,U,GT3,T,mother,yes,yes,yes,no,3,2,3,3
GP,M,16,U,GT3,T,mother,yes,yes,yes,yes,4,1,2,3
GP,F,17,U,GT3,T,father,yes,yes,no,no,5,2,3,5
GP,F,17,U,LE3,T,mother,yes,yes,yes,yes,5,2,3,1
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,1,1,2,1
GP,M,17,U,GT3,T,mother,yes,yes,yes,yes,4,2,3,4
GP,M,16,U,GT3,T,mother,yes,yes,yes,yes,3,1,2,3
GP,M,16,U,LE3,T,mother,yes,yes,yes,yes,4,1,2,5
GP,F,17,U,GT3,A,mother,no,yes,yes,yes,3,1,3,3
GP,M,17,R,GT3,T,mother,yes,yes,no,no,3,1,5,3
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,4,1,1,2
GP,F,17,U,GT3,T,mother,yes,yes,yes,no,5,1,1,3
GP,M,17,U,GT3,T,other,no,yes,yes,no,4,4,5,5
GP,M,16,R,GT3,T,mother,yes,yes,yes,no,4,3,4,5
GP,M,16,U,GT3,T,father,yes,yes,yes,no,5,1,1,3
GP,F,17,U,LE3,T,father,yes,yes,yes,yes,4,1,1,5
GP,M,17,U,GT3,T,mother,yes,yes,yes,no,5,1,2,5
GP,M,16,R,LE3,T,father,yes,yes,yes,no,3,3,5,3
GP,F,17,U,GT3,T,mother,yes,yes,yes,no,4,2,3,2
GP,F,16,U,LE3,T,mother,yes,yes,yes,no,4,1,2,3
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,4,1,5,2
GP,F,16,U,GT3,T,mother,yes,yes,no,no,4,1,3,4
GP,F,17,U,GT3,T,mother,no,yes,no,no,4,1,3,1
GP,F,17,R,GT3,T,mother,yes,yes,yes,no,5,1,2,3
GP,F,16,R,GT3,T,mother,no,yes,yes,no,5,1,1,5
GP,F,17,U,GT3,T,mother,yes,yes,yes,yes,4,3,4,5
GP,F,16,U,GT3,A,mother,yes,yes,yes,no,2,2,2,4
GP,F,16,U,GT3,T,mother,yes,yes,yes,yes,1,1,1,1
GP,F,16,U,GT3,T,mother,yes,yes,no,no,4,1,4,5
GP,F,17,R,GT3,T,mother,yes,yes,yes,yes,4,1,1,4
GP,F,19,U,GT3,T,other,yes,yes,yes,no,4,1,2,3
GP,M,17,U,LE3,T,mother,yes,yes,yes,yes,5,4,5,3
GP,F,16,U,GT3,A,mother,yes,yes,yes,no,3,1,1,4
GP,M,18,U,GT3,T,mother,yes,yes,yes,no,4,2,4,5
GP,F,17,R,LE3,T,mother,yes,yes,no,no,5,1,2,3
GP,F,17,U,LE3,T,mother,yes,yes,yes,no,4,1,3,1
GP,F,17,U,GT3,T,mother,yes,yes,yes,yes,3,2,4,1
GP,M,18,U,LE3,T,father,yes,yes,yes,no,3,2,4,4
GP,F,17,U,GT3,T,father,yes,yes,no,no,3,1,4,3
GP,F,17,U,GT3,T,mother,yes,yes,yes,no,4,1,1,4
GP,F,17,R,GT3,T,mother,yes,yes,yes,no,4,1,2,5
GP,F,17,U,GT3,T,mother,yes,yes,no,yes,4,1,1,5
GP,F,16,U,GT3,T,mother,yes,yes,yes,no,2,1,1,3
GP,M,18,U,GT3,T,mother,yes,yes,yes,no,3,5,5,4
GP,F,16,U,GT3,T,mother,no,yes,yes,no,5,1,1,5
GP,F,18,R,GT3,T,mother,yes,yes,yes,yes,5,1,1,4
GP,F,17,U,GT3,T,mother,no,yes,yes,no,5,1,3,3
GP,M,17,U,LE3,T,father,no,yes,yes,no,5,1,3,3
GP,M,18,U,LE3,T,mother,yes,yes,yes,yes,4,4,5,3
GP,F,17,U,GT3,A,mother,yes,yes,yes,yes,3,1,2,3
GP,F,17,U,LE3,T,father,yes,yes,yes,yes,3,1,2,3
GP,M,17,R,GT3,T,father,yes,yes,yes,no,4,1,1,1
GP,M,17,U,GT3,T,mother,yes,yes,yes,yes,4,1,3,2
GP,M,16,U,GT3,T,father,yes,yes,yes,no,4,2,4,1
GP,M,16,U,LE3,T,mother,yes,yes,yes,no,3,1,1,5
GP,M,16,U,GT3,T,mother,yes,yes,yes,yes,5,1,3,2
GP,M,17,U,LE3,T,father,no,yes,yes,yes,4,5,5,4
GP,F,16,U,GT3,T,mother,yes,yes,yes,yes,4,1,1,5
GP,F,17,R,GT3,T,mother,yes,yes,no,no,2,1,1,3
GP,M,18,U,GT3,T,father,yes,no,yes,no,5,3,5,2
GP,M,17,U,LE3,T,mother,yes,yes,yes,yes,2,1,4,5
GP,M,17,R,LE3,A,mother,yes,yes,yes,no,3,2,3,4
GP,M,16,U,LE3,T,mother,no,yes,yes,no,5,1,1,3
GP,M,16,U,GT3,T,mother,yes,yes,yes,no,5,1,2,5
GP,F,18,U,GT3,T,other,no,yes,yes,yes,4,1,1,3
GP,M,16,U,GT3,T,mother,yes,yes,yes,no,4,1,1,4
GP,M,17,U,GT3,T,father,yes,yes,yes,no,5,1,1,2
GP,M,22,U,GT3,T,mother,no,no,yes,yes,5,5,5,1
GP,M,18,R,LE3,T,mother,yes,yes,yes,yes,4,1,3,5
GP,M,16,U,GT3,T,mother,no,yes,yes,no,4,2,4,5
GP,M,18,U,GT3,T,mother,yes,no,yes,no,4,2,4,5
GP,M,16,U,GT3,T,other,no,yes,yes,no,5,1,3,2
GP,M,18,U,GT3,T,mother,no,no,yes,no,3,2,5,5
GP,M,16,R,GT3,T,mother,no,yes,no,no,3,1,3,3
GP,M,17,R,GT3,T,mother,no,yes,yes,no,4,2,4,5
GP,M,17,U,LE3,T,mother,yes,yes,yes,no,4,1,2,5
GP,F,17,U,LE3,T,mother,yes,yes,yes,no,4,1,1,4
GP,M,19,U,LE3,A,mother,yes,yes,yes,no,4,1,1,1
GP,M,18,U,GT3,T,mother,yes,yes,yes,no,5,1,2,4
GP,F,17,U,LE3,T,father,yes,yes,yes,yes,3,1,1,2
GP,F,18,U,GT3,T,father,yes,yes,yes,yes,3,1,3,2
GP,M,18,U,GT3,T,mother,no,yes,yes,no,4,1,1,3
GP,M,18,R,GT3,T,mother,no,yes,no,no,5,1,1,3
GP,F,17,U,GT3,T,mother,no,yes,no,no,3,1,1,4
GP,F,18,U,GT3,T,mother,yes,yes,yes,yes,4,1,1,3
GP,M,18,R,LE3,A,mother,yes,yes,yes,no,4,3,4,1
GP,M,17,U,GT3,T,mother,yes,yes,yes,yes,5,3,4,5
GP,F,18,R,GT3,T,mother,yes,yes,yes,no,4,2,2,4
GP,M,18,U,GT3,T,father,yes,yes,yes,yes,5,1,3,5
GP,F,18,R,GT3,T,mother,yes,no,yes,yes,4,1,2,3
GP,F,19,U,GT3,T,other,yes,yes,yes,no,4,3,3,5
GP,F,18,U,GT3,T,father,yes,yes,yes,yes,4,1,3,2
GP,F,18,U,LE3,T,mother,no,yes,no,no,4,1,1,3
GP,M,17,R,GT3,T,mother,no,yes,no,yes,3,2,2,1
GP,F,17,U,GT3,T,mother,yes,yes,yes,yes,4,1,1,1
GP,F,17,U,LE3,T,mother,yes,yes,yes,yes,4,2,3,5
GP,F,18,R,GT3,A,mother,no,no,yes,yes,4,1,1,5
GP,M,18,U,GT3,T,mother,yes,yes,yes,no,3,1,4,3
GP,F,18,U,GT3,T,father,yes,yes,yes,yes,2,1,1,4
GP,M,18,U,LE3,T,mother,yes,yes,yes,no,4,1,2,1
GP,M,17,U,LE3,A,mother,yes,yes,yes,yes,4,2,4,5
GP,M,17,U,LE3,A,mother,yes,yes,yes,no,4,3,4,3
GP,F,18,R,LE3,T,mother,yes,yes,no,no,5,1,1,3
GP,F,18,U,GT3,T,mother,yes,yes,yes,no,5,1,1,4
GP,F,17,U,GT3,T,mother,no,yes,yes,no,5,1,2,5
GP,M,17,U,GT3,T,father,no,yes,yes,no,4,1,2,4
GP,F,18,U,GT3,T,mother,yes,yes,yes,no,4,1,2,2
GP,F,17,U,GT3,T,mother,yes,yes,yes,no,4,1,1,3
GP,M,18,U,GT3,T,mother,yes,yes,yes,no,4,1,3,2
GP,M,18,U,LE3,A,mother,yes,yes,yes,no,5,1,1,2
GP,M,18,U,GT3,T,mother,yes,yes,yes,yes,4,1,4,5
GP,F,17,U,GT3,T,mother,yes,yes,yes,no,4,1,2,3
GP,F,18,U,LE3,T,mother,yes,yes,yes,yes,5,1,1,5
GP,F,17,R,LE3,T,mother,yes,yes,no,no,3,1,1,3
GP,M,18,R,LE3,T,mother,yes,yes,yes,no,5,1,1,4
GP,M,17,U,GT3,T,mother,yes,yes,yes,no,4,1,3,5
GP,F,19,U,GT3,T,other,yes,yes,yes,no,2,2,3,2
GP,F,18,U,LE3,T,other,yes,yes,yes,yes,4,1,2,2
GP,F,18,U,GT3,T,father,yes,yes,yes,no,4,1,1,3
GP,M,18,U,LE3,T,mother,yes,yes,yes,yes,1,2,2,1
GP,F,18,U,LE3,A,mother,yes,yes,yes,yes,4,1,1,4
GP,M,17,U,LE3,T,father,yes,yes,yes,no,4,2,2,5
GP,F,17,U,GT3,T,mother,yes,yes,yes,no,4,1,1,3
GP,F,17,U,GT3,T,father,no,yes,yes,no,5,1,2,5
GP,M,19,U,GT3,T,other,yes,yes,yes,yes,4,1,1,3
GP,F,18,U,GT3,T,other,yes,yes,yes,no,4,1,1,3
GP,M,20,U,GT3,A,other,yes,yes,no,no,5,1,1,5
GP,M,19,U,GT3,T,other,yes,yes,yes,yes,4,1,1,4
GP,M,19,R,GT3,T,father,yes,yes,no,yes,4,1,2,5
GP,F,19,U,LE3,T,other,no,yes,yes,no,4,1,3,3
GP,F,19,U,LE3,T,other,no,yes,no,yes,4,2,2,3
GP,F,19,U,GT3,T,other,yes,no,yes,yes,3,1,1,2
GP,M,19,U,GT3,T,other,no,yes,yes,no,4,2,2,4
GP,F,19,U,LE3,T,other,no,yes,yes,yes,4,1,2,1
GP,F,19,U,GT3,T,other,no,yes,yes,yes,4,1,1,3
GP,F,19,R,GT3,T,other,yes,yes,yes,yes,4,1,1,3
GP,F,18,U,GT3,T,mother,yes,yes,yes,no,5,1,2,1
GP,F,18,U,GT3,T,mother,yes,yes,yes,yes,4,1,1,5
GP,F,17,R,GT3,T,father,no,yes,yes,no,4,2,5,5
GP,F,18,U,GT3,T,mother,yes,yes,yes,no,4,3,3,5
GP,F,17,U,GT3,A,mother,yes,yes,yes,yes,5,1,2,5
GP,F,17,U,GT3,T,mother,yes,yes,no,yes,4,1,1,3
GP,F,17,R,LE3,T,mother,yes,yes,yes,no,3,2,2,3
GP,F,17,U,GT3,T,father,no,yes,yes,no,3,2,3,5
GP,F,17,U,LE3,T,father,yes,yes,yes,no,3,2,3,2
GP,M,18,U,GT3,T,mother,yes,yes,yes,no,4,2,2,3
GP,M,17,U,GT3,T,mother,no,yes,yes,no,4,3,5,5
GP,M,17,R,GT3,T,mother,yes,yes,yes,no,4,5,5,4
GP,F,17,U,GT3,T,mother,yes,yes,yes,no,5,1,3,4
GP,F,17,U,GT3,T,mother,no,yes,yes,yes,4,1,2,4
GP,M,18,U,LE3,T,mother,yes,yes,yes,no,4,2,4,5
GP,F,17,R,GT3,T,father,yes,yes,yes,yes,4,1,1,5
GP,F,18,U,GT3,T,mother,yes,yes,yes,no,5,1,1,4
GP,F,18,U,LE3,T,other,no,yes,yes,yes,4,1,1,2
GP,F,18,R,GT3,T,mother,yes,yes,no,no,4,1,1,4
GP,F,17,U,GT3,T,mother,yes,yes,yes,no,4,1,3,5
GP,F,19,R,GT3,A,other,yes,yes,no,no,5,1,2,5
GP,F,17,U,GT3,T,mother,yes,yes,yes,yes,4,2,3,2
GP,F,18,U,LE3,T,mother,yes,yes,yes,no,5,1,1,1
GP,F,17,R,GT3,A,mother,yes,yes,yes,no,4,2,3,2
GP,F,19,U,GT3,T,other,yes,yes,yes,yes,4,1,3,3
GP,M,18,U,GT3,T,father,yes,yes,yes,no,4,2,2,2
GP,M,18,U,LE3,T,mother,yes,yes,yes,yes,4,1,3,5
GP,F,17,U,GT3,A,father,yes,yes,yes,yes,3,1,2,4
GP,F,18,U,GT3,T,mother,yes,yes,yes,no,4,1,2,3
GP,F,18,U,GT3,T,mother,yes,yes,yes,yes,5,2,3,1
GP,M,18,R,GT3,T,mother,yes,yes,yes,yes,5,1,2,4
GP,M,18,U,GT3,T,mother,yes,yes,yes,yes,5,2,3,5
GP,F,17,U,GT3,T,mother,yes,yes,yes,yes,4,1,3,4
MS,M,18,R,GT3,T,mother,no,yes,yes,no,2,5,5,5
MS,M,19,R,GT3,T,other,yes,yes,yes,no,5,3,3,2
MS,M,17,U,GT3,T,mother,yes,yes,yes,no,4,2,3,3
MS,M,18,U,LE3,T,mother,yes,no,yes,yes,4,2,3,3
MS,M,19,R,GT3,T,other,yes,yes,yes,no,4,3,3,5
MS,M,17,R,GT3,T,mother,no,yes,yes,yes,4,1,3,2
MS,F,18,U,GT3,T,father,yes,yes,no,yes,5,1,1,5
MS,F,17,R,GT3,T,father,yes,yes,yes,no,4,1,2,5
MS,F,17,U,LE3,A,mother,yes,yes,no,yes,1,1,2,5
MS,M,18,U,LE3,T,father,no,yes,yes,yes,3,1,2,3
MS,F,18,U,LE3,T,father,yes,yes,yes,no,5,1,1,4
MS,F,18,R,LE3,A,mother,yes,yes,no,yes,4,1,4,5
MS,M,18,R,LE3,T,mother,no,no,no,no,4,2,3,5
MS,F,18,U,GT3,T,mother,yes,yes,yes,yes,4,1,3,3
MS,F,17,U,LE3,T,mother,yes,yes,yes,yes,2,1,1,1
MS,F,17,R,GT3,T,father,no,yes,no,no,3,1,2,3
MS,M,18,R,GT3,T,mother,yes,yes,no,no,3,2,4,3
MS,M,18,U,LE3,T,mother,yes,yes,yes,yes,4,2,2,5
MS,F,17,R,GT3,T,mother,yes,yes,yes,yes,5,1,2,1
MS,F,18,U,GT3,T,father,yes,yes,yes,yes,5,1,2,4
MS,F,18,R,GT3,T,father,no,yes,yes,yes,3,4,2,5
MS,F,19,U,LE3,T,other,yes,yes,no,yes,3,1,1,3
MS,M,18,R,LE3,T,father,yes,no,yes,yes,4,2,3,3
MS,F,17,U,GT3,T,mother,yes,yes,no,yes,3,1,1,3
MS,F,17,R,GT3,T,mother,yes,yes,yes,no,3,1,3,1
MS,F,18,R,LE3,T,mother,yes,yes,yes,no,5,1,1,1
MS,F,18,R,GT3,T,mother,yes,yes,yes,no,4,1,2,4
MS,F,20,U,GT3,T,other,no,yes,yes,yes,5,1,1,3
MS,F,18,R,LE3,T,mother,yes,yes,yes,no,5,3,4,2
MS,F,18,U,GT3,T,mother,yes,yes,yes,yes,4,1,2,1
